date,price,product
03.01.2022,1.79,Горошек
03.01.2022,3.99,Гречка
03.01.2022,3.99,Гречка
03.01.2022,7.06,Курятина
03.01.2022,2.69,Творог
03.01.2022,2.49,Молоко
03.01.2022,2.49,Кукуруза
03.01.2022,3.29,Яблоки
03.01.2022,3.29,Травяной чай
03.01.2022,1.69,Багет
29.12.2021,4.99,Краб. палочки
29.12.2021,1.74,Огурец
29.12.2021,2.49,Кукуруза
29.12.2021,2.49,Молоко
29.12.2021,2.69,Хлеб
28.12.2021,8.0,Толкушка
28.12.2021,9.49,Шампунь
28.12.2021,2.49,Ромашка
28.12.2021,2.49,Мята
28.12.2021,1.99,Мелисса
28.12.2021,1.8,Лимон
28.12.2021,5.99,Вишня
28.12.2021,3.98,Яблоки
27.12.2021,2.49,Молоко
27.12.2021,2.49,Молоко
27.12.2021,9.48,Курятина
27.12.2021,1.99,Мука
27.12.2021,3.99,Овощи
27.12.2021,3.99,Овощи
27.12.2021,3.99,Гречка
27.12.2021,3.99,Гречка
27.12.2021,2.69,Хлеб
27.12.2021,2.17,Морковка
27.12.2021,6.49,Майонез
27.12.2021,11.99,Яйца
23.12.2021,2.49,Молоко
23.12.2021,2.79,Перловка
23.12.2021,7.29,Курятина
23.12.2021,2.49,Кукуруза
23.12.2021,9.99,Сыр
23.12.2021,2.19,Паштет
23.12.2021,2.69,Хлеб
23.12.2021,1.29,Зажигалка
